id,Позиция,Готовый текст
4.1 Главная страница,,
4.1.2. Посадочная страница.,,
1,Заголовок №1,"Delion — zuverlässiger Führer für die Gewerbetreibenden, die den Gewinn"
2,Подзаголовок к заголовку №1,"Verwenden Sie die Dienste Delion, die durch den Handel auf den Finanzmärkten "
3,Заголовок №2,"Delion — Zuverlässigkeit, bewährte"
4,Подзаголовок к заголовку №2,"Zahlreiche Kundenrezensionen bestätigen, dass es sich lohnt zu Vertrauen"
5,Заголовок №3,"Nutzen Sie alle Möglichkeiten, den Handel auf Finanzmärkten mit Delion"
6,Подзаголовок к заголовку №3,"CFDs auf Aktien, Indizes, Rohstoffe, Währungen, Edelmetalle und andere Finanzinstrumente ohne Einschränkungen zur Verfügung."
7,Заголовок №4,Die günstige Handelsbedingungen
8,Подзаголовок к заголовку №4,Das vollständige fehlen von Requotes und slippage für jeden Kunden Delion.
4.1.3. Почему CFDRise Capital? (Преимущества),,
9,Преимущество №1,Funktionalität
10,Описание преимущества №1,Verwenden Sie die erweiterten Möglichkeiten der fundamentalen und der technischen Analyse im neuen Terminal.
11,Преимущество №2,Sicherheit
12,Описание преимущества №2,Wir verwenden die modernsten Mittel zum Schutz der personenbezogenen Daten unserer Kunden und garantiert volle Sicherheit Ihrer Gelder.
13,Преимущество №3,Wirtschaftlichkeit
14,Описание преимущества №3,Keine Vorabinvestitionen oder Abonnements. Keine Handelsvertreter.
15,Преимущество №4,Effizienz 
16,Описание преимущества №4,Transparente und faire Preise mit direkter Kostenkontrolle.
17,Преимущество №5,Keine Gebühren bei Auszahlungen
18,Описание преимущества №5,Schlussfolgerungen verdientes Geld mit persönlichen Konten ohne provision
19,Преимущество №6,Mehr als 4 Jahre auf dem Markt
20,Описание преимущества №6,Mit unserer Unterstützung seit 4 Jahren unsere Kunden konnten erfolgreich verdienen auf den Finanzmärkten.
4.1.5. Дополнительные преимущества.,,
27,Преимущество №1,6 internationale Auszeichnungen
28,Описание преимущества №1,"Während seiner Existenz, das Unternehmen zu einem Marktführer in der Branche der CFD-Handel."
29,Преимущество №2,Sofortige Zahlungen
30,Описание преимущества №2,High-Speed-Transaktionen. Ohne Requotes und slippage.
31,Преимущество №3,Die automatische Ausführung von Operationen
32,Описание преимущества №3,"Übergeben Sie die ganze Arbeit im Zusammenhang mit Transaktionen, unserem Programm, die macht die ganze harte Arbeit für Sie."
33,Преимущество №4,Die minimalen Spreads
34,Описание преимущества №4,Handeln Sie auf Finanzmärkten mit minimalen Spreads.
4.1.6. Три шага для начала торговли.,,
35,Шаг №1,Registrieren
36,Описание Шага №1,Und in nur wenigen Augenblicken können Sie ein Konto erstellen und wählen Sie für sich die besten Trading-Konditionen.
37,Шаг №2,Die Aktivierung des Handelskontos
38,Описание Шага №2,Die ergnzung der Rechnung die für Sie bequemste Methode.
39,Шаг №3,Die erste Transaktion
40,Описание Шага №3,"Verwenden Sie die Funktionen Delion, um Gewinne beim Handel"
4.1.7. Информация об аккаунтах.,,
41,Аккаунт №1,Silver
42,Подзаголовок для аккаунта №1,"Optimale Handelsbedingungen für diejenigen, die versuchen, sich in die Rolle des Händlers"
43,Возможности аккаунта №1,Minimale Einzahlung
431,,$100
432,,Leverage
433,,1:20
434,,Sofortige Ausführung
44,Аккаунт №2,Gold
45,Подзаголовок для аккаунта №2,Einzigartige Möglichkeiten für erfahrene Teilnehmer der Finanzmärkte
46,Возможности аккаунта №2,Mindesteinzahlung
461,,$1 000
462,,Hebel
463,,1:500
464,,Sofortige Ausführung
465,,Handel криптовалютами
466,,Einlagensicherung
47,Аккаунт №3,Platinum
48,Подзаголовок для аккаунта №3,"Einen besonderen Status, eröffnen sich neue Privilegien für Händler mit Erfahrung"
49,Возможности аккаунта №3,Mindesteinzahlung
491,,$10 000
492,,Hebel
493,,1:500
494,,Sofortige Ausführung
495,,Handel криптовалютами
496,,Einlagensicherung
497,,Schutz der Einlagen
498,,Rund um die Uhr persönliche Unterstützung
4.1.8. Футер,,
50,Блок №1,"Der CFD-Handel ist professionellen Werkzeuge, die in sich ein hohes Risiko der schnellen Verlust von Geld wegen der Hebelwirkung. Eine bestimmte Anzahl von Konten der Privatanleger Verluste aus dem Handel mit CFDs mit diesem Anbieter. Sollten Sie genau sicher sein, dass Sie den Mechanismus des CFD-Handels. Mit allen möglichen Risiken finden Sie im Mitgliederbereich der Plattform."
51,Блок №2,"Delion Unternehmen registriert in Kanada unter der Adresse: 500 Kingston Rd Toronto ON M4L 1V3, Toronto, Canada.
Delion Unternehmen bevollmächtigt auf die Führung der Tätigkeit und arbeitet in übereinstimmung mit den Anforderungen der Kanadischen Kommission für die Securities and Exchange Commission (Lizenznummer: 132/21).
Delion Unternehmen bevollmächtigt auf die Führung der Tätigkeit der Kommission für internationale Finanzdienstleistungen (IFSC) (51/138/TS/19).
Die Tätigkeit der Gesellschaft Delion reguliert durch die Financial Services der Republik Mauritius, Lizenznummer Investment Dealers: C234781230.
Der Kunde hat das Recht, von den Dienstleistungen des Unternehmens.

In diesem Fall wird die Erstattung erfolgt gemäß dem Client-Abkommen und der Politik der Rückerstattung der im Mitgliederbereich der Plattform.

Regionale Einschränkungen: Marke Delion bietet keine Dienstleistungen für die Bewohner der USA, Belgien, Japan, Israel und der Republik Vanuatu.

Geschützt durch SSL.
Copyright © 2017 - 2020 Delion. Alle Rechte vorbehalten.
"
4.2 Рынки,,
4.2.1. Посадочный экран,,
52,Заголовок,Delion öffnet den Zugang zu Interbanken-Liquidität 
53,Подзаголовок,"Dank des direkten Zugangs zu den Finanzmärkten, garantiert die Stabilität der Ausführung von Aufträgen und hohe Genauigkeit von Zitaten "
4.2.2. Описание рынков,,
54,Общий заголовок,"Wir bieten die Möglichkeit, unbegrenzt auf den bekannten Finanzmärkten zu handeln"
55,Заголовок №1,Währungspaare
56,Описание к заголовку №1,"Die liquiden Markt, der eine Chance auf einen Gewinn der Veränderung der Wechselkurse"
57,Заголовок №2,Kryptowährung
58,Описание к заголовку №2,"Eröffnung neuer Möglichkeiten durch den Handel mit solchen волантильными Währungen, wie Bitcoin, Astraleums, Litecoin, Ripple"
59,Заголовок №3,CFDs auf Aktien
60,Описание к заголовку №3,Durch die Anwendung von persönlicher Erfahrung erfolgt der Handel in Aktien der führenden Unternehmen
4.2.3. Таблица торговых инструментов,,
61,Заголовок,Das Vorhandensein von mehr als 120 Finanzinstrumente für den Handel
62,Подзаголовок,"Händler können verschiedenen Kategorien von Vermögenswerten: kryptowährung Währungspaaren, Edelmetallen und Wertpapieren."
4.3 О компании,,
4.3.1. О компании + Показатели,,
63,Слоган-заголовок,"Delion — Einfachheit, Skalierbarkeit, Stabilität."
64,Подзаголовок,"Jeden Tag verkehren viele Handelsgeschäfte, dass zeugt von einem sicheren und stabilen Zusammenarbeit"
65,Показатели,Mehr als
6501,,300 000
6502,,Offene Trading-Konten
6503,,Mehr als
6504,,2 Mio
6505,,Handelsoperationen täglich
6506,,Mehr als
6507,,4 Jahre
6508,,Auf dem Markt
6509,,Mehr als
6510,,120
6511,,Handelsinstrumente
6512,,Tägliches
6513,,$50 Mio
6514,,Handelsvolumen von rund
"4.3.2. Вы в центре всего, что мы делаем",,
66,Заголовок,"Regelmäßige Optimierung der Handelsbedingungen zu erreichen, die Funktionalität und Komfort für Händler"
67,Подзаголовок,"Hauptziel ist die Gewährleistung des Händler zu analysieren und Prognosen des Marktes, die Durchführung der Versteigerung und упешно Auszahlungen"
4.3.3. Цели и задачи компании,,
68,Общий заголовок,Die Hauptaufgaben Delion
69,Заголовок №1,Bieten jedem Trader die besten Trading-Konditionen
70,Описание заголовка №1,"Regelmäßig optimiert die Arbeit der Dienste eingeführt, um die technologische Kassenterminals, reduziert die Kosten und den Zeitraum der Bearbeitung von Aufträgen"
71,Заголовок №2,Bereitstellung von Möglichkeiten zu analysieren und studieren die Märkte
72,Описание заголовка №2,"Der Händler mit den Werkzeugen, auch nicht als Wissensträger, in der Lage, erfolgreich zu prognostizieren, die Bewegung der Preise von Vermögenswerten "
4.3.4. Больше возможностей для трейдинга,,
73,Заголовок №1,Der Handel mit unbegrenzten Möglichkeiten
74,Описание заголовка №1,Dank der Strategie und Taktik Delion verschwinden alle Grenzen in den Handel.
4.3.5. Наша история,,
75,Общий заголовок,Wie hat sich die Delion
76,2017 год. Заголовок,"Eröffnet das erste Büro, sowie die Handelsplattform ausgeführt"
77,2017 год. Описание,Die Qualität der Arbeit und der Service war geschätzt tausendsten hrsaal der Benutzer
78,2018 год. Заголовок,Die Verleihung des ersten internationalen Auszeichnungen
79,2018 год. Описание,"Delion wurde ausgezeichnet mit dem Best Europe Investment Broker, Best CFD Broker Europe und Best CFD-Broker Asiens."
80,2019 год. Заголовок,Registriert mehr als 200 000 Konten
81,2019 год. Описание,Ein starkes Wachstum von benutzerdefinierten Konten
82,2020 год. Заголовок,Indikator Anzahl von Handelsgeschäften erreichte 2 Millionen pro Tag
83,2020 год. Описание,"Über $50 Millionen Zahlungen an Kunden, die Unternehmen trauten Delion"
4.3.6. Платформа для торговли разработанная для людей.,,
84,Заголовок,Delion — eine zusätzliche Möglichkeit für die Händler erfolgreich handeln auf Finanzmärkten
85,Подзаголовок,"Die Anwendung viele Tools, analysieren und prognostizieren die Kursentwicklung von Vermögenswerten "
86,Преимущества,Fortgeschrittene Analyse-Tools
861,,Zugang zu Notierungen
862,,Störungsfreier 24/7 Handel
863,,Sofortige Ausführung
864,,Schutz vor negativem Saldo und der personenbezogenen Daten
865,,Einfache Schnittstelle
866,,Leverage von 1:1 bis 1:500
4.4 Ошибка 404.,,
87,Текст сообщения об ошибке,Fehler! Gehen Sie zurück zur Startseite oder Kontaktieren Sie den Support.
4.5 Дополнительные элементы GUI.,,
88,Регистрация,Registrierung
89,Начать торговать,Handel aufnehmen
90,Открыть счет,Ein Konto eröffnen
91,Узнать больше,Erfahren Sie mehr
92,Подробнее,Erfahren Sie mehr
93,Запросить обратный звонок,Rückruf anfordern
94,Международный номер,Internationale Nummer
95,Наша почта,Unser Postamt
96,Местоположение,Standort
97,Языки поддержки,Unterstützte Sprachen
98,Обязательное поле,Obligatorisches Feld
99,Имя,Name
100,Фамилия,Nachname
101,Ваш номер телефона,Ihre Telefonnummer
102,Ваш E-mail,Ihre E-Mail
103,Страна,Land
104,Язык поддержки,Support-Sprache
105,Удобное время для звонка,Bequeme Zeit für einen Anruf
106,Запросить звонок,Anruf anfordern
107,Последние экономические новости,Aktuelle Wirtschaftsnachrichten
4.6 Название колонок в таблице рынков.,,
108,Инструмент,Werkzeug
109,Мин. изменение цены,Min. Preisänderung
110,Стандартный лот,Standard Partie
111,Мин. размер лота,Min. Losgröße
112,Макс. размер лота,Max. Losgröße
113,Шаг изменения объема в лотах,Schritt für Volumenänderung in Losen
114,Макс. плечо,Max. Schulter
115,Открытие,Eröffnung
116,Закрытие,Schließung
4.7 Окно регистрации.,,
117,"Введите пароль. Рекомендуем использовать минимум одну цифру, один символ и одну заглавную букву. Пароль должен быть длиннее 8 знаков","Geben Sie das Passwort ein. Wir empfehlen mindestens eine Zahl, ein Zeichen und einen Großbuchstaben. Das Passwort sollte länger als 8 Zeichen sein."
118,Введите ваше имя,Geben Sie Ihren Namen ein
119,Введите ваш E-mail,Geben Sie Ihre E-Mail ein
120,Введите пароль. ,Geben Sie das Passwort ein
121,Подтвердите пароль,Passwort bestätigen
122,Поле для ввода номера телефона,Feld zur Eingabe der Telefonnummer
123,Введите промокод,Promo-Code eingeben
124,Забыли пароль?,Haben Sie Ihr Passwort vergessen?
125,Уже есть учетная запись,Sie haben bereits ein Konto
4.7 Окно входа.,,
126,Вход,Anmeldung
127,Введите ваш E-mail,Geben Sie Ihre E-Mail ein
128,Введите ваш пароль,Geben Sie Ihr Passwort ein
129,,DE
130,,de
131,,Geschützt durch SSL.
132,,Copyright © 2017 - 2020 Delion.
133,,Alle Rechte vorbehalten
134,,Kontakte
135,,Mehr Möglichkeiten
136,,Die neuesten Wirtschaftsnachrichten
137,,Kontoinformationen
138,,Die Schließungs-und öffnungs-Stunden werden nach UTC+0 angegeben
139,,Fordern Sie einen Anruf an und wir werden uns bald mit Ihnen in Verbindung setzen
140,,Der Eingang in den persönlichen Kabinett
141,,Erforderliche Felder
142,,Mehr Möglichkeiten für den Handel
143,,Main
144,,Märkte
145,,Über das Unternehmen
146,,Warum Delion?
147,,Zusätzliche Vorteile
148,,Drei Schritte, um mit dem Handel zu beginnen
149,,Forex
150,,Werkzeug
151,,Mindest Preisänderung
152,,Standardlos
153,,Mindest Losgröße
154,,Max. Losgröße
155,,Schritt zum Ändern der Lautstärke in Losen
156,,Max. Schulter
157,,Öffnung*
158,,Schließen*
159,,Metalle
160,,Überschrift
161,,Bestände
162,,Land
163,,Währungskurse
164,,Anzahl der Verträge pro 1 Los
165,,Rohstoffe
166,,Lautstärke
167,,ETFs
168,,Krypto
169,,Index
170,,Quelle:
171,,Genauer
